שם_ישוב,שם_ישוב_לועזי
נאות הכיכר ,NE'OT HAKIKKAR 
נאות מרדכי ,NE'OT MORDEKHAY 
נעורים ,NE'URIM 
נגבה ,NEGBA 
נגוהות ,NEGOHOT 
נחלים ,NEHALIM 
נהורה ,NEHORA 
נחושה ,NEHUSHA 
ניין ,NEIN 
נס עמים ,NES AMMIM 
נס הרים ,NES HARIM 
נס ציונה ,NES ZIYYONA 
נשר ,NESHER 
נטע ,NETA 
נטעים ,NETA'IM 
נתניה ,NETANYA 
נתיב העשרה ,NETIV HAASARA 
נתיב הגדוד ,NETIV HAGEDUD 
"נתיב הל""ה ",NETIV HALAMED-HE 
נתיב השיירה ,NETIV HASHAYYARA 
נתיבות ,NETIVOT 
נטועה ,NETU'A 
נבטים ,NEVATIM 
נוה צוף ,NEVE TSUF 
"נווה אטי""ב ",NEWE ATIV 
נווה אבות ,NEWE AVOT 
נווה דניאל ,NEWE DANIYYEL 
נווה איתן ,NEWE ETAN 
נווה חריף ,NEWE HARIF 
נווה אילן ,NEWE ILAN 
נווה מיכאל ,NEWE MIKHA'EL 
נווה מבטח ,NEWE MIVTAH 
נווה שלום ,NEWE SHALOM 
נווה אור ,NEWE UR 
נווה ים ,NEWE YAM 
נווה ימין ,NEWE YAMIN 
נווה ירק ,NEWE YARAQ 
נווה זיו ,NEWE ZIV 
נווה זוהר ,NEWE ZOHAR 
נצר חזני ,NEZER HAZZANI 
נצר סרני ,NEZER SERENI 
"ניל""י ",NILI 
נמרוד ,NIMROD 
ניר עם ,NIR AM 
ניר עקיבא ,NIR AQIVA 
ניר בנים ,NIR BANIM 
ניר דוד (תל עמל) ,NIR DAWID (TEL AMAL) 
ניר אליהו ,NIR ELIYYAHU 
ניר עציון ,NIR EZYON 
ניר גלים ,NIR GALLIM 
"ניר ח""ן ",NIR HEN 
ניר משה ,NIR MOSHE 
ניר עוז ,NIR OZ 
ניר יפה ,NIR YAFE 
ניר ישראל ,NIR YISRA'EL 
ניר יצחק ,NIR YIZHAQ 
ניר צבי ,NIR ZEVI 
נירים ,NIRIM 
נירית ,NIRIT 
ניצן ,NIZZAN 
ניצן ב' ,NIZZAN B 
ניצנה (קהילת חינוך) ,NIZZANA (QEHILAT HIN 
ניצני עוז ,NIZZANE OZ 
ניצני סיני ,NIZZANE SINAY 
ניצנים ,NIZZANIM 
נועם ,NO'AM 
נוף איילון ,NOF AYYALON 
נוף הגליל ,NOF HAGALIL 
נופך ,NOFEKH 
נופים ,NOFIM 
נופית ,NOFIT 
נוגה ,NOGAH 
נוקדים ,NOQEDIM 
נורדיה ,NORDIYYA 
נוב ,NOV 
נורית ,NURIT 
אודם ,ODEM 
אופקים ,OFAQIM 
עופר ,OFER 
עופרה ,OFRA 
אוהד ,OHAD 
עולש ,OLESH 
אומן ,OMEN 
עומר ,OMER 
אומץ ,OMEZ 
אור עקיבא ,OR AQIVA 
אור הגנוז ,OR HAGANUZ 
אור הנר ,OR HANER 
אור יהודה ,OR YEHUDA 
אורה ,ORA 
אורנים ,ORANIM 
אורנית ,ORANIT 
אורות ,OROT 
אורטל ,ORTAL 
עתניאל ,OTNI'EL 
עוצם ,OZEM 
"פעמי תש""ז ",PA'AME TASHAZ 
פלמחים ,PALMAHIM 
פארן ,PARAN 
פרדס חנה-כרכור ,PARDES HANNA-KARKUR 
פרדסיה ,PARDESIYYA 
פרוד ,PAROD 
פטיש ,PATTISH 
פדיה ,PEDAYA 
פדואל ,PEDU'EL 
פדויים ,PEDUYIM 
פלך ,PELEKH 
פני חבר ,PENE HEVER 
פקיעין (בוקייעה) ,PEQI'IN (BUQEI'A) 
פקיעין חדשה ,PEQI'IN HADASHA 
פרזון ,PERAZON 
פרי גן ,PERI GAN 
פסגות ,PESAGOT 
פתח תקווה ,PETAH TIQWA 
פתחיה ,PETAHYA 
פצאל ,PEZA'EL 
פורת ,PORAT 
פוריה עילית ,PORIYYA ILLIT 
פוריה - כפר עבודה ,PORIYYA-KEFAR AVODA 
פוריה - נווה עובד ,PORIYYA-NEWE OVED 
קבועה (שבט) ,QABBO'A 
קדרים ,QADDARIM 
קדימה-צורן ,QADIMA-ZORAN 
קלנסווה ,QALANSAWE 
קליה ,QALYA 
קרני שומרון ,QARNE SHOMERON 
קוואעין (שבט) ,QAWA'IN 
קציר ,QAZIR 
קצרין ,QAZRIN 
קדר ,QEDAR 
קדמה ,QEDMA 
קדומים ,QEDUMIM 
קלע ,QELA 
קלחים ,QELAHIM 
קיסריה ,QESARIYYA 
קשת ,QESHET 
קטורה ,QETURA 
קבוצת יבנה ,QEVUZAT YAVNE 
קדמת צבי ,QIDMAT ZEVI 
קדרון ,QIDRON 
קרית ענבים ,QIRYAT ANAVIM 
קרית ארבע ,QIRYAT ARBA 
קרית אתא ,QIRYAT ATTA 
קרית ביאליק ,QIRYAT BIALIK 
קרית עקרון ,QIRYAT EQRON 
קרית גת ,QIRYAT GAT 
קרית מלאכי ,QIRYAT MAL'AKHI 
קרית מוצקין ,QIRYAT MOTZKIN 
קרית נטפים ,QIRYAT NETAFIM 
קרית אונו ,QIRYAT ONO 
קרית שלמה ,QIRYAT SHELOMO 
קרית שמונה ,QIRYAT SHEMONA 
קרית טבעון ,QIRYAT TIV'ON 
קרית ים ,QIRYAT YAM 
קרית יערים ,QIRYAT YE'ARIM 
קרית יערים(מוסד) ,QIRYAT YE'ARIM(INSTI 
קוממיות ,QOMEMIYYUT 
קורנית ,QORANIT 
קודייראת א-צאנע(שבט) ,QUDEIRAT AS-SANI 
רעננה ,RA'ANANA 
רהט ,RAHAT 
רם-און ,RAM-ON 
רמת דוד ,RAMAT DAWID 
רמת גן ,RAMAT GAN 
רמת הכובש ,RAMAT HAKOVESH 
רמת השרון ,RAMAT HASHARON 
רמת השופט ,RAMAT HASHOFET 
רמת מגשימים ,RAMAT MAGSHIMIM 
רמת רחל ,RAMAT RAHEL 
רמת רזיאל ,RAMAT RAZI'EL 
רמת ישי ,RAMAT YISHAY 
רמת יוחנן ,RAMAT YOHANAN 
רמת צבי ,RAMAT ZEVI 
ראמה ,RAME 
רמלה ,RAMLA 
רמות ,RAMOT 
רמות השבים ,RAMOT HASHAVIM 
רמות מאיר ,RAMOT ME'IR 
רמות מנשה ,RAMOT MENASHE 
רמות נפתלי ,RAMOT NAFTALI 
רנן ,RANNEN 
רקפת ,RAQEFET 
ראס אל-עין ,RAS AL-EIN 
ראס עלי ,RAS ALI 
רביד ,RAVID 
רעים ,RE'IM 
רגבים ,REGAVIM 
רגבה ,REGBA 
ריחן ,REHAN 
רחלים ,REHELIM 
רחוב ,REHOV 
רחובות ,REHOVOT 
ריחאניה ,REIHANIYYE 
ריינה ,REINE 
רכסים ,REKHASIM 
רשפים ,RESHAFIM 
רתמים ,RETAMIM 
רבדים ,REVADIM 
רבבה ,REVAVA 
רביבים ,REVIVIM 
רווחה ,REWAHA 
רוויה ,REWAYA 
רימונים ,RIMMONIM 
רינתיה ,RINNATYA 
ראשון לציון ,RISHON LEZIYYON 
רשפון ,RISHPON 
רועי ,RO'I 
ראש העין ,ROSH HAAYIN 
ראש פינה ,ROSH PINNA 
ראש צורים ,ROSH ZURIM 
רותם ,ROTEM 
רוח מדבר ,RUAH MIDBAR 
רוחמה ,RUHAMA 
רומת הייב ,RUMAT HEIB 
רומאנה ,RUMMANE 
סעד ,SA'AD 
סער ,SA'AR 
סעוה ,SA'WA 
סאג'ור ,SAJUR 
סח'נין ,SAKHNIN 
סלעית ,SAL'IT 
סלמה ,SALLAMA 
סמר ,SAMAR 
צנדלה ,SANDALA 
ספיר ,SAPPIR 
שריד ,SARID 
סאסא ,SASA 
סביון ,SAVYON 
סואעד (כמאנה) (שבט) ,SAWA'ID (KAMANE) 
סואעד (חמרייה) ,SAWA'ID(HAMRIYYE) 
סייד (שבט) ,SAYYID 
שדי אברהם ,SEDE AVRAHAM 
שדה בוקר ,SEDE BOQER 
שדה דוד ,SEDE DAWID 
שדה אליעזר ,SEDE ELI'EZER 
שדה אליהו ,SEDE ELIYYAHU 
שדי חמד ,SEDE HEMED 
שדה אילן ,SEDE ILAN 
שדה משה ,SEDE MOSHE 
שדה נחום ,SEDE NAHUM 
שדה נחמיה ,SEDE NEHEMYA 
שדה ניצן ,SEDE NIZZAN 
שדי תרומות ,SEDE TERUMOT 
שדה עוזיהו ,SEDE UZZIYYAHU 
שדה ורבורג ,SEDE WARBURG 
שדה יעקב ,SEDE YA'AQOV 
שדה יצחק ,SEDE YIZHAQ 
שדה יואב ,SEDE YO'AV 
שדה צבי ,SEDE ZEVI 
שדרות ,SEDEROT 
שדות מיכה ,SEDOT MIKHA 
שדות ים ,SEDOT YAM 
שגב-שלום ,SEGEV-SHALOM 
סגולה ,SEGULA 
שניר ,SENIR 
שעב ,SHA'AB 
שעל ,SHA'AL 
שעלבים ,SHA'ALVIM 
שער אפרים ,SHA'AR EFRAYIM 
שער העמקים ,SHA'AR HAAMAQIM 
שער הגולן ,SHA'AR HAGOLAN 
שער מנשה ,SHA'AR MENASHE 
שער שומרון ,SHA'AR SHOMRON 
שדמות דבורה ,SHADMOT DEVORA 
שדמות מחולה ,SHADMOT MEHOLA 
שפיר ,SHAFIR 
שחר ,SHAHAR 
שחרות ,SHAHARUT 
שלווה במדבר ,SHALVA BAMIDBAR 
שלווה ,SHALWA 
שמרת ,SHAMERAT 
שמיר ,SHAMIR 
שני ,SHANI 
שקד ,SHAQED 
שרונה ,SHARONA 
שרשרת ,SHARSHERET 
שבי דרום ,SHAVE DAROM 
שבי שומרון ,SHAVE SHOMERON 
שבי ציון ,SHAVE ZIYYON 
שאר ישוב ,SHE'AR YASHUV 
שדמה ,SHEDEMA 
שפרעם ,SHEFAR'AM 
שפיים ,SHEFAYIM 
שפר ,SHEFER 
שייח' דנון ,SHEIKH DANNUN 
שכניה ,SHEKHANYA 
שלומי ,SHELOMI 
שלוחות ,SHELUHOT 
שקף ,SHEQEF 
שתולה ,SHETULA 
שתולים ,SHETULIM 
שיזף ,SHEZAF 
שזור ,SHEZOR 
שיבולים ,SHIBBOLIM 
שבלי - אום אל-גנם ,SHIBLI 
שילת ,SHILAT 
שילה ,SHILO 
שמעה ,SHIM'A 
שמשית ,SHIMSHIT 
נאות סמדר ,SHIZZAFON 
שלומית ,SHLOMIT 
שואבה ,SHO'EVA 
שוהם ,SHOHAM 
שומרה ,SHOMERA 
שומריה ,SHOMERIYYA 
שוקדה ,SHOQEDA 
שורשים ,SHORASHIM 
שורש ,SHORESH 
שושנת העמקים ,SHOSHANNAT HAAMAQIM 
צוקי ים ,SHOSHANNAT HAAMAQIM( 
שובל ,SHOVAL 
שובה ,SHUVA 
סתריה ,SITRIYYA 
סופה ,SUFA 
סולם ,SULAM 
סוסיה ,SUSEYA 
תעוז ,TA'OZ 
טל שחר ,TAL SHAHAR 
טל-אל ,TAL-EL 
"תלמי ביל""ו ",TALME BILU 
תלמי אלעזר ,TALME EL'AZAR 
תלמי אליהו ,TALME ELIYYAHU 
תלמי יפה ,TALME YAFE 
תלמי יחיאל ,TALME YEHI'EL 
תלמי יוסף ,TALME YOSEF 
טלמון ,TALMON 
טמרה ,TAMRA 
טמרה (יזרעאל) ,TAMRA (YIZRE'EL) 
תראבין א-צאנע (שבט) ,TARABIN AS-SANI 
תראבין א-צאנע(ישוב) ,TARABIN AS-SANI 
תרום ,TARUM 
טייבה ,TAYIBE 
טייבה (בעמק) ,TAYIBE(BAEMEQ) 
תאשור ,TE'ASHUR 
טפחות ,TEFAHOT 
תל עדשים ,TEL ADASHIM 
תל אביב - יפו ,TEL AVIV - YAFO 
תל מונד ,TEL MOND 
תל קציר ,TEL QAZIR 
תל שבע ,TEL SHEVA 
תל תאומים ,TEL TE'OMIM 
תל ציון ,TEL TSIYON 
תל יצחק ,TEL YIZHAQ 
תל יוסף ,TEL YOSEF 
טללים ,TELALIM 
תלמים ,TELAMIM 
תלם ,TELEM 
טנא ,TENE 
תנובות ,TENUVOT 
תקוע ,TEQOA 
תקומה ,TEQUMA 
טבריה ,TIBERIAS 
תדהר ,TIDHAR 
תפרח ,TIFRAH 
תימורים ,TIMMORIM 
תמרת ,TIMRAT 
טירת כרמל ,TIRAT KARMEL 
טירת יהודה ,TIRAT YEHUDA 
טירת צבי ,TIRAT ZEVI 
טירה ,TIRE 
תירוש ,TIROSH 
תומר ,TOMER 
רמת טראמפ ,TRUMP HEIGHTS 
טובא-זנגריה ,TUBA-ZANGARIYYE 
טורעאן ,TUR'AN 
תושיה ,TUSHIYYA 
תובל ,TUVAL 
אודים ,UDIM 
אום אל-פחם ,UMM AL-FAHM 
אום אל-קוטוף ,UMM AL-QUTUF 
אום בטין ,UMM BATIN 
עוקבי (בנו עוקבה) ,UQBI (BANU UQBA) 
אורים ,URIM 
אושה ,USHA 
עוזה ,UZA 
עוזייר ,UZEIR 
ורדון ,WARDON 
ורד יריחו ,WERED YERIHO 
יעד ,YA'AD 
יערה ,YA'ARA 
יעל ,YA'EL 
יד בנימין ,YAD BINYAMIN 
יד חנה ,YAD HANNA 
יד השמונה ,YAD HASHEMONA 
יד מרדכי ,YAD MORDEKHAY 
יד נתן ,YAD NATAN 
"יד רמב""ם ",YAD RAMBAM 
יפיע ,YAFI 
יפית ,YAFIT 
יגל ,YAGEL 
יגור ,YAGUR 
יהל ,YAHEL 
יכיני ,YAKHINI 
יאנוח-ג'ת ,YANUH-JAT 
ינוב ,YANUV 
יקיר ,YAQIR 
יקום ,YAQUM 
ירדנה ,YARDENA 
ירחיב ,YARHIV 
ירקונה ,YARQONA 
יסעור ,YAS'UR 
ישרש ,YASHRESH 
יתד ,YATED 
יבנה ,YAVNE 
יבנאל ,YAVNE'EL 
יציץ ,YAZIZ 
יעף ,YE'AF 
ידידה ,YEDIDA 
כפר ידידיה ,YEDIDYA 
יחיעם ,YEHI'AM 
יהוד-מונוסון ,YEHUD-MONOSON 
ירוחם ,YEROHAM 
ישע ,YESHA 
יסודות ,YESODOT 
יסוד המעלה ,YESUD HAMA'ALA 
יבול ,YEVUL 
יפעת ,YIF'AT 
יפתח ,YIFTAH 
ינון ,YINNON 
יראון ,YIR'ON 
ירכא ,YIRKA 
ישעי ,YISH'I 
"ייט""ב ",YITAV 
יצהר ,YIZHAR 
יזרעאל ,YIZRE'EL 
יודפת ,YODEFAT 
יונתן ,YONATAN 
יקנעם עילית ,YOQNE'AM ILLIT 
יקנעם (מושבה) ,YOQNE'AM(MOSHAVA) 
יושיביה ,YOSHIVYA 
יטבתה ,YOTVATA 
יובל ,YUVAL 
יובלים ,YUVALIM 
זבארגה (שבט) ,ZABARGA 
צפרירים ,ZAFRIRIM 
צפריה ,ZAFRIYYA 
זנוח ,ZANOAH 
זרזיר ,ZARZIR 
זבדיאל ,ZAVDI'EL 
צאלים ,ZE'ELIM 
צפת ,ZEFAT 
זכריה ,ZEKHARYA 
צלפון ,ZELAFON 
זמר ,ZEMER 
זרחיה ,ZERAHYA 
זרועה ,ZERU'A 
צרופה ,ZERUFA 
זיתן ,ZETAN 
זכרון יעקב ,ZIKHRON YA'AQOV 
זמרת ,ZIMRAT 
ציפורי ,ZIPPORI 
זיקים ,ZIQIM 
צבעון ,ZIV'ON 
צופר ,ZOFAR 
צופית ,ZOFIT 
צופיה ,ZOFIYYA 
צוחר ,ZOHAR 
זוהר ,ZOHAR 
צרעה ,ZOR'A 
צובה ,ZOVA 
צופים ,ZUFIN 
צור הדסה ,ZUR HADASSA 
צור משה ,ZUR MOSHE 
צור נתן ,ZUR NATAN 
צור יצחק ,ZUR YIZHAQ 
צוריאל ,ZURI'EL 
צורית ,ZURIT 
צביה ,ZVIYYA 
